Accession,DataID
SRR25445119,data_1
SRR28167559,data_10
SRR13401434,data_100
SRR13430625,data_101
SRR13430626,data_102
SRR13430627,data_103
SRR14100602,data_104
SRR14101547,data_105
SRR14101709,data_106
SRR14102219,data_107
SRR14102306,data_108
SRR14116705,data_109
SRR28167566,data_11
SRR18114233,data_110
SRR19107616,data_111
ERR3569450,data_112
ERR3569451,data_113
ERR10782676,data_114
ERR10783123,data_115
ERR10783128,data_116
ERR10783153,data_117
ERR10783156,data_118
ERR10783178,data_119
SRR28167572,data_12
ERR10788118,data_120
ERR10812835,data_121
ERR10812841,data_122
ERR10852936,data_123
ERR10852995,data_124
ERR10854476,data_125
ERR10854484,data_126
SRR8618098,data_127
SRR13430624,data_128
SRR14101519,data_129
SRR28167573,data_13
SRR14102521,data_130
ERR10782663,data_131
ERR10782680,data_132
ERR10782688,data_133
ERR10782695,data_134
ERR10782743,data_135
ERR10783132,data_136
ERR10783144,data_137
ERR10787961,data_138
ERR10808115,data_139
SRR28167574,data_14
ERR10809418,data_140
ERR10812836,data_141
ERR10812838,data_142
ERR10812839,data_143
ERR10812868,data_144
ERR10812872,data_145
ERR10852925,data_146
ERR10852926,data_147
ERR10852931,data_148
ERR10852993,data_149
SRR28167581,data_15
ERR10854234,data_150
ERR10854473,data_151
ERR10782671,data_152
ERR10783138,data_153
ERR10783163,data_154
ERR10787959,data_155
ERR10788033,data_156
ERR10788115,data_157
ERR10788121,data_158
ERR10794274,data_159
SRR28167584,data_16
ERR10794308,data_160
ERR10802837,data_161
ERR10805899,data_162
ERR10808103,data_163
ERR10808136,data_164
ERR10812840,data_165
ERR10812869,data_166
ERR10812870,data_167
ERR10812871,data_168
ERR10812873,data_169
SRR25445122,data_17
ERR10852929,data_170
ERR10852932,data_171
ERR10853648,data_172
ERR10854475,data_173
ERR10854483,data_174
ERR4783216,data_175
ERR4783387,data_176
ERR7226554,data_177
ERR10782668,data_178
ERR10782717,data_179
SRR25445123,data_18
ERR10783159,data_180
ERR10783166,data_181
ERR10787957,data_182
ERR10794316,data_183
ERR10794327,data_184
ERR10802836,data_185
ERR10809417,data_186
ERR10812834,data_187
ERR10812837,data_188
ERR10820997,data_189
SRR25445124,data_19
ERR10852933,data_190
ERR10852935,data_191
ERR10852938,data_192
ERR10852996,data_193
ERR10854472,data_194
ERR10854474,data_195
ERR10854480,data_196
ERR4783186,data_197
ERR4783194,data_198
ERR4783208,data_199
SRR25445121,data_2
SRR25445126,data_20
ERR4783259,data_200
ERR4783385,data_201
ERR4783401,data_202
ERR4783417,data_203
ERR6938077,data_204
ERR6938090,data_205
ERR6938096,data_206
ERR6938099,data_207
ERR6938409,data_208
ERR6938734,data_209
SRR25445128,data_21
ERR6938735,data_210
ERR6938736,data_211
ERR6938931,data_212
ERR7226556,data_213
ERR7226586,data_214
ERR7226656,data_215
ERR7226658,data_216
ERR4783200,data_217
ERR4783214,data_218
ERR4783228,data_219
SRR28167555,data_22
ERR4783250,data_220
ERR6938074,data_221
ERR6938114,data_222
ERR6938729,data_223
ERR6938732,data_224
ERR6938738,data_225
ERR6938740,data_226
ERR6938913,data_227
ERR6938928,data_228
ERR7226616,data_229
SRR28167561,data_23
ERR7226620,data_230
ERR7226644,data_231
ERR7226676,data_232
ERR7226680,data_233
ERR7226688,data_234
ERR4783180,data_235
ERR4783188,data_236
ERR4783195,data_237
ERR4783239,data_238
ERR4783244,data_239
SRR28167565,data_24
ERR4783258,data_240
ERR4783413,data_241
ERR4783415,data_242
ERR4783518,data_243
ERR6938084,data_244
ERR6938479,data_245
ERR6938739,data_246
ERR6938741,data_247
ERR6938745,data_248
ERR6938749,data_249
SRR28167570,data_25
ERR7226295,data_250
ERR7226612,data_251
ERR7226618,data_252
ERR7226626,data_253
ERR7226646,data_254
ERR7226654,data_255
ERR7226678,data_256
ERR4783203,data_257
ERR4783222,data_258
ERR4783223,data_259
SRR28167575,data_26
ERR4783231,data_260
ERR4783252,data_261
ERR4783394,data_262
ERR4783411,data_263
ERR4783419,data_264
ERR6938087,data_265
ERR6938093,data_266
ERR6938111,data_267
ERR6938153,data_268
ERR6938733,data_269
SRR25445120,data_27
ERR6938929,data_270
ERR7226588,data_271
ERR7226592,data_272
ERR7226594,data_273
ERR7226614,data_274
ERR7226622,data_275
ERR7226648,data_276
ERR4783264,data_277
ERR4783391,data_278
ERR6938731,data_279
SRR28167556,data_28
ERR6938743,data_280
ERR7226293,data_281
ERR7226650,data_282
ERR7226690,data_283
SRR25445108,data_284
ERR10812867,data_285
ERR4783172,data_286
ERR4783167,data_287
ERR6938061,data_288
ERR7226590,data_289
SRR28167558,data_29
ERR4436595,data_293
ERR4436596,data_294
ERR4436597,data_295
ERR4436754,data_296
ERR4919979,data_297
ERR4919980,data_298
ERR4919981,data_299
SRR25445125,data_3
SRR28167562,data_30
ERR4919983,data_300
ERR4919984,data_301
ERR4919985,data_302
ERR4919991,data_303
ERR4919992,data_304
ERR4919993,data_305
ERR4920008,data_306
ERR4920011,data_307
ERR4920012,data_308
ERR4920013,data_309
SRR28167564,data_31
ERR4999559,data_310
ERR4999560,data_311
ERR4999561,data_312
ERR4999562,data_313
ERR4999563,data_314
ERR4999564,data_315
ERR4999566,data_316
ERR4999567,data_317
ERR4999568,data_318
ERR4999569,data_319
SRR28167571,data_32
ERR4999570,data_320
ERR4999571,data_321
ERR4999572,data_322
ERR4999574,data_323
ERR4999575,data_324
ERR4999577,data_325
ERR5000113,data_326
ERR5000114,data_327
ERR5000123,data_328
ERR5000189,data_329
SRR28167579,data_33
ERR5000190,data_330
ERR5000204,data_331
ERR5205865,data_332
ERR5205866,data_333
ERR5205867,data_334
ERR5205868,data_335
ERR5205869,data_336
ERR5205871,data_337
ERR8024946,data_338
ERR8024947,data_339
SRR25445074,data_34
ERR8024950,data_340
ERR8024951,data_341
ERR8024959,data_342
SRR10583096,data_346
SRR11589174,data_348
SRR11589267,data_349
SRR25445079,data_35
SRR12905341,data_350
SRR12905336,data_351
SRR12905338,data_352
SRR12905337,data_353
SRR13327207,data_354
SRR13327196,data_355
SRR13327185,data_356
SRR13327181,data_357
SRR13327179,data_358
SRR13327178,data_359
SRR25445081,data_36
SRR13327206,data_360
SRR13327205,data_361
SRR13327204,data_362
SRR13327203,data_363
SRR13327201,data_364
SRR13327200,data_365
SRR13327199,data_366
SRR13327198,data_367
SRR13327194,data_368
SRR13327193,data_369
SRR25445087,data_37
SRR13327192,data_370
SRR13327191,data_371
SRR13327190,data_372
SRR13327189,data_373
SRR13327187,data_374
SRR13327186,data_375
SRR17931145,data_379
SRR25445089,data_38
SRR17931144,data_380
SRR17931033,data_381
SRR17931048,data_382
SRR25445092,data_39
SRR28167557,data_4
SRR25445096,data_40
SRR25445097,data_41
SRR25445102,data_42
SRR25445113,data_43
SRR25445117,data_44
SRR25445118,data_45
SRR28167560,data_46
SRR28167563,data_47
SRR28167577,data_48
SRR28167578,data_49
SRR28167567,data_5
SRR28167582,data_50
SRR28824822,data_51
SRR25445075,data_52
SRR25445076,data_53
SRR25445077,data_54
SRR25445082,data_55
SRR25445084,data_56
SRR25445085,data_57
SRR25445090,data_58
SRR25445091,data_59
SRR28167569,data_6
SRR25445094,data_60
SRR25445095,data_61
SRR25445098,data_62
SRR25445099,data_63
SRR25445100,data_64
SRR25445103,data_65
SRR25445105,data_66
SRR25445106,data_67
SRR25445110,data_68
SRR25445111,data_69
SRR28167576,data_7
SRR25445115,data_70
SRR25445116,data_71
ERR3569448,data_72
ERR10710700,data_73
ERR10710703,data_74
SRR14101949,data_75
SRR14116736,data_76
SRR14280111,data_77
SRR14455652,data_78
SRR25445078,data_79
SRR25445127,data_8
SRR25445080,data_80
SRR25445083,data_81
SRR25445086,data_82
SRR25445088,data_83
SRR25445093,data_84
SRR25445101,data_85
SRR25445104,data_86
SRR25445107,data_87
SRR25445109,data_88
SRR25445112,data_89
SRR28167554,data_9
SRR25445114,data_90
ERR3569449,data_91
ERR10710702,data_92
ERR10710705,data_93
ERR10710706,data_94
ERR10710707,data_95
ERR10710709,data_96
SRR8618099,data_97
SRR9017260,data_98
SRR11514880,data_99
